               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044484,            0.055922,                   0,             0.49684,             0.46154,             0.45408,             0.28748,            0.040951,            0.025022,                   0,              0.0014,              0.0014,              0.0874
                   1,            0.032942,            0.036117,                   0,             0.77734,             0.74359,             0.79912,             0.49499,            0.032804,            0.013581,                   0,           0.0028904,           0.0028904,             0.07389
                   2,            0.032117,            0.032831,                   0,             0.77082,             0.79487,             0.84376,              0.5497,            0.031791,            0.011149,                   0,            0.004371,            0.004371,            0.060371
                   3,            0.028485,            0.030075,                   0,             0.77667,             0.76923,             0.84354,              0.4683,            0.034266,            0.011101,                   0,           0.0058416,           0.0058416,            0.046842
                   4,            0.028963,             0.02864,                   0,             0.85732,             0.80769,             0.88576,             0.53903,            0.030627,            0.010683,                   0,           0.0073023,           0.0073023,            0.033302
                   5,            0.027655,            0.028137,                   0,             0.79222,             0.78209,             0.84294,             0.50763,            0.034197,             0.01292,                   0,           0.0087532,           0.0087532,            0.019753
                   6,            0.027308,            0.029283,                   0,             0.75861,             0.73077,             0.81304,             0.49885,            0.031964,            0.013188,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.028843,            0.027887,                   0,             0.76504,             0.88462,             0.89032,             0.58329,            0.030229,            0.010538,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.027748,            0.026809,                   0,             0.78445,             0.78205,              0.8301,             0.54853,             0.03239,            0.011409,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.028768,            0.028131,                   0,             0.67935,             0.70513,             0.73892,             0.39429,             0.03638,            0.013556,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.027868,            0.028117,                   0,             0.86134,             0.82051,             0.88697,             0.58239,            0.029492,            0.011374,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.02604,            0.026507,                   0,              0.8678,             0.84161,             0.89281,             0.48467,             0.03155,            0.011382,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.026376,            0.025379,                   0,             0.84124,             0.88318,             0.93413,             0.60317,            0.030941,            0.010415,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.026194,            0.024587,                   0,             0.85604,             0.83333,             0.89184,             0.58388,            0.029284,            0.010329,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.024587,            0.025021,                   0,             0.86237,             0.88369,             0.91346,             0.58667,            0.029962,           0.0098851,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.026909,            0.024278,                   0,             0.85888,             0.85832,             0.92349,             0.54677,            0.031756,            0.010192,                   0,            0.009538,            0.009538,            0.009538
