               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12081,            0.036554,                   0,            0.038403,                0.36,            0.035477,           0.0087478,            0.083427,            0.027262,                   0,              0.0012,              0.0012,              0.0892
                   1,            0.092444,            0.037636,                   0,             0.10373,                0.08,             0.05656,            0.011772,            0.059668,            0.021245,                   0,           0.0024918,           0.0024918,            0.077492
                   2,            0.077656,            0.035786,                   0,             0.49428,             0.37154,             0.31913,             0.15275,              0.0497,            0.020378,                   0,           0.0037749,           0.0037749,            0.065775
                   3,            0.063389,            0.030474,                   0,             0.59454,                0.32,             0.38472,             0.19296,            0.048335,            0.018955,                   0,           0.0050495,           0.0050495,             0.05405
                   4,               0.068,            0.027238,                   0,             0.57536,                0.52,             0.53719,             0.28622,            0.057397,            0.014213,                   0,           0.0063155,           0.0063155,            0.042316
                   5,             0.06451,            0.026228,                   0,             0.63948,                0.46,             0.54006,             0.14695,            0.052619,            0.010879,                   0,            0.007573,            0.007573,            0.030573
                   6,            0.059001,            0.024148,                   0,             0.52116,                 0.4,             0.44042,             0.14432,            0.055549,            0.011071,                   0,           0.0088218,           0.0088218,            0.018822
                   7,            0.062439,             0.02317,                   0,             0.66706,                 0.5,             0.55479,             0.25465,            0.055444,            0.010287,                   0,            0.009769,            0.009769,            0.009769
                   8,            0.058843,             0.02235,                   0,             0.42383,                0.48,             0.41873,             0.19017,            0.048134,            0.013414,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.06366,            0.022055,                   0,             0.49959,              0.3195,             0.31034,             0.11655,            0.050936,            0.016829,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.055387,            0.020832,                   0,             0.19988,                0.26,            0.094217,             0.02957,             0.06284,            0.020578,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.055363,            0.019496,                   0,             0.17171,                0.34,             0.13986,            0.049436,            0.052429,            0.016331,                   0,             0.00967,             0.00967,             0.00967
