               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098307,            0.047075,                   0,            0.095874,             0.22656,            0.056329,            0.012086,            0.062147,            0.017728,                   0,              0.0021,              0.0021,              0.0811
                   1,            0.067525,            0.043759,                   0,             0.26526,             0.33594,             0.19101,            0.063485,            0.042842,            0.019174,                   0,           0.0042858,           0.0042858,            0.061286
                   2,            0.069387,            0.033106,                   0,             0.33337,             0.48445,             0.36619,            0.095274,            0.052787,            0.020048,                   0,           0.0064571,           0.0064571,            0.041457
                   3,            0.063412,            0.033593,                   0,             0.62142,             0.51562,             0.56338,             0.19421,            0.044039,            0.012689,                   0,           0.0086139,           0.0086139,            0.021614
                   4,            0.055709,            0.030136,                   0,             0.50604,             0.73438,              0.6191,             0.24578,            0.039031,            0.010662,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.047395,            0.031938,                   0,              0.7001,             0.69305,             0.71271,             0.33661,            0.027709,            0.010226,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.040284,            0.027322,                   0,             0.51716,             0.55229,             0.53432,             0.22353,            0.030757,             0.01464,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.038186,            0.028858,                   0,             0.75146,             0.71094,             0.78727,             0.40426,            0.030572,           0.0085411,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.036383,            0.026993,                   0,             0.80208,             0.72822,             0.77009,             0.43379,            0.027572,           0.0081172,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.035051,            0.025723,                   0,             0.90824,             0.69595,             0.81968,             0.43979,            0.029486,            0.009017,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.033935,            0.025091,                   0,             0.83714,             0.80469,             0.88776,              0.5163,            0.023177,           0.0076983,                   0,            0.009703,            0.009703,            0.009703
