               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013777,            0.013454,                   0,             0.87244,             0.90839,             0.93426,              0.7172,            0.024105,           0.0088561,                   0,               0.001,               0.001,               0.091
                   1,            0.013814,             0.01367,                   0,              0.8642,             0.91406,             0.93024,             0.71992,            0.023942,           0.0092027,                   0,           0.0020965,           0.0020965,            0.081097
                   2,            0.013962,            0.013675,                   0,             0.92647,             0.89844,             0.93455,             0.72125,            0.022816,           0.0090326,                   0,           0.0031894,           0.0031894,            0.071189
                   3,            0.014591,             0.01322,                   0,              0.9142,             0.91572,             0.92977,             0.68423,            0.023635,            0.008886,                   0,           0.0042787,           0.0042787,            0.061279
                   4,             0.01548,            0.014519,                   0,             0.89387,              0.9212,             0.93694,             0.68224,            0.023738,           0.0093623,                   0,           0.0053644,           0.0053644,            0.051364
                   5,            0.016245,            0.014931,                   0,             0.90041,              0.9183,             0.93306,             0.67723,            0.024215,           0.0091708,                   0,           0.0064464,           0.0064464,            0.041446
                   6,            0.016839,            0.014139,                   0,             0.89962,              0.9102,             0.92069,             0.66636,            0.024123,           0.0090028,                   0,           0.0075248,           0.0075248,            0.031525
                   7,            0.019462,            0.014942,                   0,             0.92202,             0.88281,             0.92456,             0.66243,             0.02654,           0.0091336,                   0,           0.0085995,           0.0085995,              0.0216
                   8,            0.020562,            0.015978,                   0,             0.88792,             0.88281,             0.89634,             0.60856,            0.026267,            0.010318,                   0,           0.0096706,           0.0096706,            0.011671
                   9,            0.019829,            0.015488,                   0,             0.77872,             0.76982,              0.8236,             0.51034,            0.029552,            0.012078,                   0,           0.0098515,           0.0098515,           0.0098515
                  10,             0.02069,            0.015309,                   0,             0.80802,              0.8125,             0.81887,             0.47461,            0.028279,            0.011776,                   0,           0.0098515,           0.0098515,           0.0098515
                  11,            0.020071,            0.017289,                   0,             0.89724,             0.81854,             0.86482,             0.55707,            0.027481,            0.011018,                   0,            0.009835,            0.009835,            0.009835
                  12,            0.019729,            0.015983,                   0,             0.84503,              0.8094,             0.88823,             0.59748,            0.026913,            0.009919,                   0,           0.0098185,           0.0098185,           0.0098185
                  13,            0.019415,            0.015898,                   0,              0.8135,             0.83594,             0.88772,             0.58656,            0.024837,            0.010463,                   0,            0.009802,            0.009802,            0.009802
                  14,            0.019967,            0.015795,                   0,             0.83958,             0.89952,             0.91984,             0.65651,            0.023814,           0.0093229,                   0,           0.0097855,           0.0097855,           0.0097855
                  15,            0.019617,            0.015268,                   0,             0.87276,             0.85938,             0.87752,             0.59238,            0.028685,            0.010763,                   0,            0.009769,            0.009769,            0.009769
                  16,            0.019541,            0.016917,                   0,              0.9605,             0.79688,             0.91299,             0.64367,            0.026504,           0.0098976,                   0,           0.0097525,           0.0097525,           0.0097525
                  17,            0.019094,            0.016869,                   0,             0.87774,             0.78906,             0.86974,              0.5656,            0.029041,             0.01066,                   0,            0.009736,            0.009736,            0.009736
                  18,             0.01983,            0.016788,                   0,             0.82047,             0.70312,             0.81922,             0.56296,            0.028882,            0.012915,                   0,           0.0097195,           0.0097195,           0.0097195
                  19,            0.020247,            0.016944,                   0,             0.89934,             0.79688,             0.85791,             0.60283,            0.028206,             0.01154,                   0,            0.009703,            0.009703,            0.009703
                  20,            0.018382,            0.016763,                   0,              0.8012,             0.80469,             0.85156,             0.57912,            0.029647,            0.011727,                   0,           0.0096865,           0.0096865,           0.0096865
                  21,            0.019139,            0.016814,                   0,              0.9298,             0.82778,             0.91419,             0.65388,            0.025714,           0.0089316,                   0,             0.00967,             0.00967,             0.00967
                  22,             0.01873,            0.016566,                   0,             0.79476,             0.89062,             0.89749,              0.5985,            0.027836,            0.009481,                   0,           0.0096535,           0.0096535,           0.0096535
                  23,            0.018923,            0.016189,                   0,             0.86694,             0.86531,             0.91304,             0.61651,            0.027791,           0.0092811,                   0,            0.009637,            0.009637,            0.009637
                  24,            0.018803,            0.015563,                   0,             0.85962,             0.81327,              0.8791,             0.57338,            0.028361,            0.010163,                   0,           0.0096205,           0.0096205,           0.0096205
                  25,            0.019364,            0.015415,                   0,             0.89365,             0.85345,             0.91731,              0.6075,            0.027733,           0.0093714,                   0,            0.009604,            0.009604,            0.009604
                  26,            0.017708,            0.014867,                   0,             0.92568,             0.77852,             0.87668,             0.58211,            0.028326,            0.010561,                   0,           0.0095875,           0.0095875,           0.0095875
                  27,            0.020417,            0.015429,                   0,              0.8959,             0.80688,             0.88298,             0.59371,             0.02857,            0.010333,                   0,            0.009571,            0.009571,            0.009571
                  28,            0.018971,            0.016679,                   0,             0.84835,             0.82812,              0.8712,             0.59142,            0.027539,            0.010455,                   0,           0.0095545,           0.0095545,           0.0095545
                  29,             0.01897,            0.015881,                   0,             0.89395,             0.85609,             0.90291,             0.61456,             0.02718,            0.010156,                   0,            0.009538,            0.009538,            0.009538
                  30,            0.018063,            0.015951,                   0,             0.89483,             0.86419,             0.92202,              0.6312,            0.026893,           0.0094096,                   0,           0.0095215,           0.0095215,           0.0095215
                  31,            0.019806,            0.015662,                   0,             0.87846,             0.86719,             0.92632,             0.63529,            0.025107,           0.0091005,                   0,            0.009505,            0.009505,            0.009505
                  32,            0.018424,            0.016056,                   0,             0.80881,             0.83594,              0.8624,             0.57812,            0.027532,            0.011039,                   0,           0.0094885,           0.0094885,           0.0094885
                  33,            0.019449,            0.016501,                   0,             0.93182,             0.85938,             0.92828,             0.59594,            0.028116,           0.0097725,                   0,            0.009472,            0.009472,            0.009472
                  34,            0.018972,            0.015429,                   0,             0.87436,             0.86993,             0.91516,             0.61728,            0.026317,           0.0092464,                   0,           0.0094555,           0.0094555,           0.0094555
                  35,            0.018171,            0.015642,                   0,             0.85417,             0.88281,             0.91042,             0.56426,            0.029908,           0.0095891,                   0,            0.009439,            0.009439,            0.009439
