               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10834,            0.045131,                   0,           0.0040541,             0.70312,           0.0036031,            0.001221,             0.11303,            0.026449,                   0,              0.0009,              0.0009,              0.0919
                   1,             0.10363,            0.049821,                   0,           0.0041204,             0.70635,           0.0036163,           0.0012063,             0.11266,            0.026368,                   0,           0.0018937,           0.0018937,            0.082894
                   2,            0.097923,            0.050336,                   0,           0.0040278,             0.69048,           0.0035068,           0.0011763,             0.11179,            0.026159,                   0,           0.0028809,           0.0028809,            0.073881
                   3,            0.091402,            0.055194,                   0,           0.0038498,               0.656,           0.0032831,           0.0011622,             0.11024,            0.025781,                   0,           0.0038614,           0.0038614,            0.064861
                   4,            0.083822,            0.051717,                   0,           0.0036036,               0.625,           0.0033699,            0.001168,             0.10828,            0.025142,                   0,           0.0048353,           0.0048353,            0.055835
                   5,            0.078733,            0.053964,                   0,           0.0035586,             0.61719,           0.0057839,           0.0018751,             0.10618,            0.024177,                   0,           0.0058027,           0.0058027,            0.046803
                   6,            0.073625,            0.056798,                   0,           0.0036486,             0.63281,              0.0167,           0.0043059,             0.10332,            0.022643,                   0,           0.0067634,           0.0067634,            0.037763
                   7,            0.069004,             0.05594,                   0,            0.003964,              0.6875,            0.038424,           0.0093223,            0.099797,            0.020828,                   0,           0.0077175,           0.0077175,            0.028718
                   8,            0.066642,            0.055787,                   0,            0.009322,             0.60938,            0.056002,            0.011177,            0.080274,            0.021011,                   0,            0.008665,            0.008665,            0.019665
                   9,            0.063387,            0.055662,                   0,             0.16089,             0.24117,            0.087518,            0.015553,            0.060731,             0.02144,                   0,            0.009606,            0.009606,            0.010606
                  10,            0.061986,            0.051563,                   0,            0.070738,             0.27344,            0.047933,            0.011878,            0.062579,            0.075884,                   0,             0.00967,             0.00967,             0.00967
                  11,            0.059107,            0.052796,                   0,            0.079249,             0.28377,            0.054283,            0.011197,            0.056847,            0.032314,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.059666,            0.049547,                   0,             0.28025,             0.29688,             0.16689,            0.040432,            0.050956,            0.020408,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.053622,            0.048099,                   0,            0.069964,             0.36719,            0.058822,            0.016536,            0.062976,            0.022087,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.054258,            0.047307,                   0,             0.09769,             0.23438,            0.092043,            0.022983,            0.061566,            0.017594,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.051237,            0.045585,                   0,             0.15012,              0.0625,            0.045159,            0.010975,            0.069909,            0.022987,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.051274,            0.049821,                   0,             0.25031,             0.27344,             0.17407,            0.037011,            0.067964,            0.018042,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.048261,            0.041775,                   0,            0.065934,              0.0625,            0.025576,           0.0062725,             0.10107,            0.017794,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.045912,            0.043523,                   0,             0.50518,             0.47656,             0.47262,             0.14477,            0.061004,            0.015747,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.04706,             0.04505,                   0,             0.14274,            0.085938,            0.050729,            0.010558,            0.084411,            0.018506,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.044342,            0.042623,                   0,             0.69492,             0.57031,               0.595,             0.21077,            0.050307,            0.015725,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.045492,             0.04266,                   0,             0.41839,             0.55469,             0.33778,            0.094342,            0.056754,            0.018383,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.043653,            0.042932,                   0,             0.40042,                 0.5,             0.32607,            0.082626,            0.052112,            0.017838,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.041217,            0.037162,                   0,              0.5796,             0.53906,             0.47292,             0.16874,            0.050188,            0.016625,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.040424,              0.0369,                   0,             0.34314,             0.39062,             0.27929,            0.098183,            0.050553,            0.019869,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.041698,            0.041133,                   0,             0.41975,             0.41257,             0.33104,             0.11276,            0.049389,             0.02032,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.041175,            0.037589,                   0,             0.32588,             0.55469,             0.39105,             0.13898,            0.043893,            0.020825,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.038866,             0.03941,                   0,             0.44747,             0.39844,             0.36987,             0.11699,            0.049734,            0.021872,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.039981,            0.038361,                   0,             0.55454,             0.64844,             0.61328,             0.25036,            0.037483,            0.017293,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.038339,            0.039593,                   0,             0.66638,               0.625,             0.64053,             0.26238,            0.040051,            0.014869,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.037535,            0.038672,                   0,             0.55453,             0.58353,             0.57851,             0.21035,            0.042232,            0.018125,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.038155,            0.037765,                   0,             0.68343,             0.50599,             0.54356,             0.21423,            0.044929,            0.016467,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.036953,            0.038632,                   0,             0.67834,             0.59375,             0.60877,             0.24584,            0.041314,            0.016973,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.036494,            0.038683,                   0,             0.77629,             0.70488,             0.73822,             0.28854,            0.041807,            0.015178,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.037628,            0.038646,                   0,             0.73653,             0.63281,             0.72973,             0.29112,             0.03862,            0.019247,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.03598,            0.038032,                   0,             0.73257,             0.74905,             0.76492,             0.35481,            0.035136,            0.014371,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.03526,            0.035631,                   0,             0.68546,             0.59375,             0.59197,             0.22563,            0.040396,            0.014302,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.035197,            0.036729,                   0,             0.56142,             0.53906,             0.48308,             0.15739,             0.04679,               0.016,                   0,            0.008812,            0.008812,            0.008812
                  38,             0.03583,            0.035324,                   0,             0.89145,             0.76992,             0.86357,             0.47624,            0.030452,            0.011952,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.035984,            0.034172,                   0,             0.78801,             0.78413,             0.82126,             0.36315,             0.03512,            0.011923,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.035779,            0.038811,                   0,             0.84435,             0.76562,             0.82035,             0.45147,            0.031528,             0.01347,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.03597,            0.035988,                   0,             0.86153,             0.86719,             0.88863,             0.50788,              0.0281,            0.012767,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.033454,            0.033985,                   0,             0.86623,             0.80943,              0.8757,             0.40725,            0.035189,            0.012795,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.034325,            0.035365,                   0,             0.84234,             0.84375,             0.87325,             0.49535,            0.029666,            0.012483,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.035206,            0.035974,                   0,             0.88461,             0.77865,             0.87014,             0.38182,            0.034429,            0.011934,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.034285,            0.034522,                   0,             0.89149,             0.77344,             0.84611,             0.40607,            0.031925,            0.012566,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.032191,            0.033227,                   0,             0.88467,              0.7791,             0.84268,             0.38671,            0.033946,            0.012141,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.033934,            0.034151,                   0,             0.83902,             0.82812,             0.90052,             0.49833,            0.029369,            0.011948,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.031737,            0.034181,                   0,             0.91108,             0.80046,             0.87922,             0.38454,            0.037801,            0.012084,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.03289,            0.035545,                   0,             0.68526,             0.56133,             0.57129,             0.23984,            0.042109,            0.014801,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.034584,             0.03323,                   0,             0.85556,             0.82812,             0.89541,             0.46741,             0.03044,            0.011507,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.033247,            0.034584,                   0,             0.92069,             0.81624,             0.90116,             0.50657,            0.027787,            0.011863,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.031503,            0.032784,                   0,              0.8932,             0.78125,              0.8882,             0.47949,            0.028785,            0.012167,                   0,            0.008317,            0.008317,            0.008317
